,DISTRICT_NAME,NORM_ARI_0_2,NORM_ARI_3_6,NORM_ARI_7_14,NORM_ARI_15,NORM_ARI_TOTAL,NORM_ILI_0_2,NORM_ILI_3_6,NORM_ILI_7_14,NORM_ILI_15,NORM_ILI_TOTAL,NORM_SWB_0_2,NORM_SWB_3_6,NORM_SWB_7_14,NORM_SWB_15,NORM_SWB_TOTAL,NORM_POS_0_2,NORM_POS_3_6,NORM_POS_7_14,NORM_POS_15,NORM_POS_TOTAL,NORM_swba_0_2,NORM_swba_3_6,NORM_swba_7_14,NORM_swba_15,NORM_swba_TOTAL,NORM_posa_0_2,NORM_posa_3_6,NORM_posa_7_14,NORM_posa_15,NORM_posa_TOTAL
10,Казань,1661.0807284515809,1365.1963049106034,302.85885638259134,115.56749633337508,271.8349632437915,0.0,0.0,0.0,0.0,0.0,9.199500278876956,2.8943879993740143,1.2542982778572769,0.5689414006655548,1.1613486962148898,0.0,0.04649070708878679,0.0,0.012886663731536165,0.013424023312288088,9.199500278876956,2.8943879993740143,1.2542982778572769,0.6065641189182353,1.1613486962148898,3.348788022024884,0.7857866894353867,0.32623539070888274,0.10160277287305426,0.3118232482106987
11,Киров,1626.62918498164,1862.7499802884602,313.4584949418243,85.17678091957565,247.92727470196772,0.08461897766735942,0.0,0.0,0.012213395807672769,0.013559784484242419,32.36291862887237,11.661714532879001,3.0789918230118167,0.21945020488965186,2.3096323278805895,0.3372481017780745,0.0751626519788823,0.0,0.004067074849144059,0.020354201896011746,31.546902961371558,11.436226576942355,2.9491571525093385,0.21540930451239343,2.2548590375953497,14.517963499108294,4.739321848298934,0.921772998170719,0.020283025301949097,0.8932704466715885
12,Нижний Новгород,2195.2563933825063,1992.8334609543108,524.1464291628411,182.25595262286893,358.5019547606995,0.0,0.0,0.0,0.0016645624378036246,0.0014058074693812323,6.067196985359947,6.96757539015182,4.039804698172094,1.0120536416467159,1.6779035327690923,0.0,0.0,0.0,0.003303829520179681,0.0028158197522802314,2.009822379705762,1.0312532032219677,0.5355371310440387,0.18264447917066837,0.31531126959293737,0.8651405077756646,0.281015367699101,0.09488185153000087,0.018178872188435145,0.06756055407884758
13,Оренбург,2728.479131208672,2267.3164134419803,340.1647426530018,73.97115326325381,311.7711864146916,0.0,0.0,0.0,0.0,0.0,7.411502913123602,6.316699722161723,2.0257413386047114,0.9754109037683022,1.7450800454694586,0.0,0.0,0.0,0.0,0.0,7.76804856020398,7.048107985607555,2.183950471408175,1.0404048309942735,1.735130351124069,2.094572740263423,1.3310246092614997,0.3077821252790962,0.12524444823200173,0.2895253355557096
14,Пенза,27.452776671065436,23.303027940789743,14.678900205805292,79.69442413127567,70.76399606807885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26041701642723,0.0,0.0,0.0,0.0,0.0,6.4869277472867894,3.5190062570785026,1.2070869768016264,0.36626033017268256,0.9598924907051021,0.10332926904875075,0.0,0.05342296995385324,0.0,0.1231779886394716
15,Пермь,2536.7650266519217,1709.0234565293856,333.92581468032796,152.56347084358796,355.4884540671081,0.0,0.0,0.0,0.0,0.0,20.033769133510702,5.599323827269448,2.0403747108336563,0.9186258685037528,2.0785244391317335,0.1630106103606284,0.06511620638190915,0.0,0.008820705229496227,0.01804904416232906,20.033769133510702,5.599323827269448,2.0403747108336563,0.9186258685037528,2.0785244391317335,7.075677711838302,1.8080333878774513,0.4871798581226712,0.14703412418445821,0.5576519167825791
16,Самара,944.6414928130947,1026.132532954375,220.44606034447105,101.07309202461784,185.5948164204339,0.03968518536156379,0.0,0.0,0.0018068581396646411,0.003020526188657589,4.154291974652734,0.7695771869916591,0.22558508021339224,0.317512021817445,0.4783848330345142,0.06944907438273663,0.0,0.0,0.0063533857225421845,0.007930145293923213,0.43955271116112243,0.0,0.0,0.0,0.01585643792521681,0.0,0.0,0.0,0.0,0.0
17,Саратов,2077.740834000134,2335.468047835685,532.8068739859278,83.37028578964252,272.0340899828511,0.3087268918527163,0.05495181824576212,0.0299903311172478,0.004918191781544151,0.019044832771313847,24.468455959099625,10.1432059625862,3.3248292328296465,2.029375957921323,3.203282292626287,0.0,0.0,0.0,0.0,0.0,23.286037729889163,9.59368778012858,3.102607010607424,1.9039620674919475,3.0209144317130803,6.358069028017639,2.6586745176515287,0.4288140141163989,0.04698127564437924,0.395386294698298
18,Ульяновск,3556.258623199899,2573.6290460920427,549.0597845696117,194.17683218352764,450.7618947751402,0.0,0.0,0.0,0.0032736027412363687,0.0027498587672537137,4.117695791541255,1.312001700323688,0.6547044196341112,1.6568382872772554,1.6577251806485738,0.0,0.0,0.0,0.009161588776149487,0.007729482526427528,0.21424286571257176,0.22552321385614627,0.24195265470452737,0.3457450311499809,0.32937567674360974,0.0,0.0,0.0,0.0,0.0
19,Уфа,1260.3410951930878,951.16886182887,223.22900161986846,127.55779905971102,229.1615486158957,0.0,0.0,0.0,0.0,0.0,3.036145430989238,1.2615261234320145,0.18781317847510726,0.2751162654676149,0.45084977051938924,0.0,0.0,0.0,0.0,0.0,0.5351791066076781,0.16970149507017157,0.0,0.04882036809190571,0.07332133850547486,0.0,0.0,0.0,0.0,0.0
