,POP_TOTAL,2017 год,2018 год,2019 год,2017_quality,2018_quality,2019_quality,city,sqr_km,habbit_rate,perc_more_100k,percent_less_15k,most_common,"Средняя годовая температура, °C","Температура самого холодного месяца, °C","Температура трёх самых холодных месяцев, °C","Температура самого тёплого месяца, °C","Температура трёх самых тёплых месяцев, °C","Абсолютный минимум,","Абсолютный максимум, °C","Среднее годовое количество осадков, мм",num_terapevts,num_terapevts_100k_peaple,num_pediators,num_pediators_100k_peaple,Плотность
37,181015,,,,,,,Петропавловск,224.9,60.7,2.3,17.0,,5.1,-7.6,-7.0,18.8,17.2,-44.0,38.8,,1059.0,5.2,1162.0,19.84,804.8688305913739
38,203585,В,В,ОВ,3.0,3.0,4.0,Южно-Сахалинск,164.66,50.5,6.8,2.7,42–94,4.9,-12.3,-9.9,19.8,17.8,-31.4,33.6,864.0,269.0,6.98,192.0,18.34,1236.3962103728895
39,272101,Н,Н,Н,1.0,1.0,1.0,Петрозаводск,113.0,81.4,1.6,16.3,25–51,8.1,-6.7,-5.9,23.5,22.2,-32.6,41.1,611.0,338.0,6.81,209.0,16.54,2407.973451327434
40,1166100,Н,Н,Н,1.0,1.0,1.0,Омск,566.9,62.7,1.3,19.4,19–41,6.9,-6.5,-5.9,20.5,19.4,-36.5,40.5,415.0,877.0,5.68,708.0,16.99,2056.976539072147
41,420015,Н,Н,Н,1.0,1.0,1.0,Ставрополь,276.689,62.4,1.1,18.4,17–37,5.9,-5.7,-4.9,18.3,16.9,-40.6,35.6,556.0,968.0,4.37,753.0,12.91,1518.0039683543616
42,5131942,П,Н,Н,2.0,1.0,1.0,Санкт-Петербург,1439.0,66.9,2.0,13.2,35–76,1.6,-15.5,-13.9,18.7,16.8,-52.8,36.4,662.0,,,,,3566.3252258512857
43,1391287,П,П,Н,2.0,2.0,1.0,Екатеринбург,468.0,67.0,2.5,15.2,23–47,4.6,-10.4,-9.7,20.2,18.7,-46.8,39.0,537.0,1196.0,3.51,1099.0,11.95,2972.83547008547
44,609700,ОВ,ОВ,ОВ,4.0,4.0,4.0,Иркутск,277.35,53.0,6.3,3.9,26–57,0.9,-17.1,-15.6,18.7,16.7,-55.0,35.1,477.0,,,,,2198.305390301064
45,834108,П,П,П,2.0,2.0,2.0,Краснодар,339.31,64.2,1.6,13.8,20–43,4.7,-8.7,-8.0,18.0,17.2,-43.0,37.1,718.0,2166.0,4.87,1653.0,14.3,2458.2476201703457
46,462740,ОВ,ОВ,ОВ,4.0,4.0,4.0,Улан-Удэ,377.12,49.2,3.0,10.8,21–48,7.9,-1.5,-1.0,18.1,17.1,-33.3,36.5,265.0,483.0,6.69,300.0,11.42,1227.036487059822
47,12043896,Н,П,П,1.0,2.0,2.0,Москва,2551.9,45.8,2.5,12.5,46–125,2.3,-14.5,-13.4,18.2,17.6,-49.9,39.9,707.0,,,,,4719.579920843293
48,432103,Н,Н,Н,1.0,1.0,1.0,Тверь,152.22,79.0,1.6,20.1,19–42,5.4,-6.4,-5.9,17.9,16.7,-37.9,37.2,653.0,442.0,4.22,407.0,17.14,2838.674287215872
49,588976,П,П,В,2.0,2.0,3.0,Владивосток,331.16,,,,26–60,,,,,,,,818.0,655.0,4.26,616.0,16.45,1778.5239763256432
50,1017985,Н,Н,Н,1.0,1.0,1.0,Волгоград,859.353,,,,18–39,,,,,,,,347.0,1041.0,5.1,819.0,17.06,1184.5946892604088
51,1023570,В,В,П,3.0,3.0,2.0,Воронеж,596.51,,,,16–35,,,,,,,,587.0,,,,,1715.9309986421017
52,207571,Н,Н,Н,1.0,1.0,1.0,Псков,95.6,,,,17–35,,,,,,,,702.0,184.0,3.54,140.0,12.03,2171.244769874477
53,219971,В,Н,Н,3.0,1.0,1.0,Великий Новгород,90.08,,,,20–40,,,,,,,,,257.0,5.26,166.0,14.11,2441.951598579041
54,1017226,ОВ,ОВ,В,4.0,4.0,3.0,Красноярск,353.9,,,,19–42,,,,,,,,491.0,,,,,2874.33173212772
55,1162180,П,П,П,2.0,2.0,2.0,Казань,614.16,,,,,,,,,,,,558.0,,,,,1892.3081933046765
56,578596,П,Н,Н,2.0,1.0,1.0,Томск,297.2,,,,25–55,,,,,,,,568.0,568.0,6.67,456.0,20.15,1946.8236877523557
57,350529,Н,Н,Н,1.0,1.0,1.0,Владимир,137.014,,,,19–39,,,,,,,,584.0,490.0,4.35,374.0,14.82,2558.3444027617616
58,448548,Н,Н,Н,1.0,1.0,1.0,Калининград,223.0,,,,21–44,,,,,,,,818.0,349.0,4.36,261.0,13.5,2011.42600896861
59,1183387,В,П,П,3.0,2.0,2.0,Челябинск,501.57,,,,20–44,,,,,,,,429.0,1126.0,4.09,996.0,13.41,2359.3655920409915
60,330961,Н,Н,Н,1.0,1.0,1.0,Смоленск,200.0,,,,17–37,,,,,,,,739.0,412.0,5.25,336.0,20.48,1654.805
